filename,artist,source,title,year,url
turner_00000.jpg,turner,wikiart.org,"The Pantheon, the Morning after the Fire",,https://uploads7.wikiart.org/images/william-turner/the-pantheon-the-morning-after-the-fire.jpg!Large.jpg
turner_00001.jpg,turner,wikiart.org,"Tintern Abbey. The Crossing and Chancel, Looking Towards the East Window",,https://uploads2.wikiart.org/00287/images/william-turner/tintern-abbey-the-crossing-and-chancel-looking-towards-the-east-window-1794.jpg!Large.jpg
turner_00002.jpg,turner,wikiart.org,Cathedral Church at Lincoln,,https://uploads4.wikiart.org/images/william-turner/cathedral-church-at-lincoln.jpg!Large.jpg
turner_00003.jpg,turner,wikiart.org,A Great Tree,,https://uploads0.wikiart.org/00287/images/william-turner/a-great-tree-c-1796.jpg!Large.jpg
turner_00004.jpg,turner,wikiart.org,Fishermen at Sea,,https://uploads2.wikiart.org/images/william-turner/fishermen-at-sea.jpg!Large.jpg
turner_00005.jpg,turner,wikiart.org,"Wolverhampton, Staffordshire",,https://uploads4.wikiart.org/images/william-turner/wolverhampton-staffordshire.jpg!Large.jpg
turner_00006.jpg,turner,wikiart.org,"Moonlight, A Study at Millbank",,https://uploads6.wikiart.org/images/william-turner/moonlight-a-study-at-millbank.jpg!Large.jpg
turner_00007.jpg,turner,wikiart.org,"Mountain Stream, Coniston",,https://uploads1.wikiart.org/images/william-turner/mountain-stream-coniston.jpg!Large.jpg
turner_00008.jpg,turner,wikiart.org,"Buttermere Lake, with Part of Cromackwater, Cumberland, a Shower",,https://uploads1.wikiart.org/images/william-turner/buttermere-lake-a-shower.jpg!Large.jpg
turner_00009.jpg,turner,wikiart.org,"Morning Amongst the Coniston Fells, Cumberland",,https://uploads1.wikiart.org/00223/images/william-turner/n00461-9.jpg!Large.jpg
turner_00010.jpg,turner,wikiart.org,Caernarvon Castle,,https://uploads3.wikiart.org/images/william-turner/caernarvon-castle.jpg!Large.jpg
turner_00011.jpg,turner,wikiart.org,Dolbadern Castle,,https://uploads2.wikiart.org/images/william-turner/dolbadern-castle.jpg!Large.jpg
turner_00012.jpg,turner,wikiart.org,Perspective View of Fonthill Abbey from the South West,,https://uploads4.wikiart.org/images/william-turner/perspective-view-of-fonthill-abbey-from-the-south-west.jpg!Large.jpg
turner_00013.jpg,turner,wikiart.org,Self-Portrait,,https://uploads1.wikiart.org/images/william-turner/self-portrait-1.jpg!Large.jpg
turner_00014.jpg,turner,wikiart.org,"South View of Christ Church, from the Meadows",,https://uploads8.wikiart.org/images/william-turner/south-view-of-christ-church-from-the-meadows-1799.jpg!Large.jpg
turner_00015.jpg,turner,wikiart.org,"Warkworth Castle, Northumberland; Thunderstorm Approaching at Sunset",,https://uploads0.wikiart.org/images/william-turner/warkworth-castle-northumberland-thunder-storm-approaching-at-sun-set.jpg!Large.jpg
turner_00016.jpg,turner,wikiart.org,The Fifth Plague of Egypt,,https://uploads2.wikiart.org/images/william-turner/the-fifth-plague-of-egypt.jpg!Large.jpg
turner_00017.jpg,turner,wikiart.org,Dutch Boats in a Gale,,https://uploads7.wikiart.org/images/william-turner/dutch-boats-in-a-gale.jpg!Large.jpg
turner_00018.jpg,turner,wikiart.org,Dutch Fishing Boats in a Storm,,https://uploads7.wikiart.org/images/william-turner/dutch-fishing-boats-in-a-storm.jpg!Large.jpg
turner_00019.jpg,turner,wikiart.org,"Pembroke Castle, South Wales, Thunder Storm Approaching",,https://uploads3.wikiart.org/images/william-turner/pembroke-caselt-south-wales-thunder-storm-approaching.jpg!Large.jpg
turner_00020.jpg,turner,wikiart.org,A Canal Tunnel Near Leeds,,https://uploads2.wikiart.org/images/william-turner/a-canal-tunnel-near-leeds.jpg!Large.jpg
turner_00021.jpg,turner,wikiart.org,Fishermen Upon a Lee Shore in Squally Weather,,https://uploads4.wikiart.org/00287/images/william-turner/fishermen-upon-a-lee-shore-in-squally-weather-1802.jpg!Large.jpg
turner_00022.jpg,turner,wikiart.org,Lake Lucerne,,https://uploads7.wikiart.org/images/william-turner/lake-lucerne.jpg!Large.jpg
turner_00023.jpg,turner,wikiart.org,Ships Bearing up for Anchorage ('The Egremont Sea Piece'),,https://uploads8.wikiart.org/images/william-turner/ships-bearing-up-for-anchorage-the-egremont-sea-piece-1802.jpg!Large.jpg
