filename,artist,source,title,url
commons_turner_c6e562810f90.jpg,turner,commons.wikimedia.org,(Barcelona) Stormy Sea D24585 - William Turner Tate Britain.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/%28Barcelona%29_Stormy_Sea_D24585_-_William_Turner_Tate_Britain.jpg/1280px-%28Barcelona%29_Stormy_Sea_D24585_-_William_Turner_Tate_Britain.jpg
commons_turner_fe2429092f07.jpg,turner,commons.wikimedia.org,"15. Dinant, on the Meuse, from the South.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/15._Dinant%2C_on_the_Meuse%2C_from_the_South.jpg/1280px-15._Dinant%2C_on_the_Meuse%2C_from_the_South.jpg
commons_turner_b9facf2c1cad.jpg,turner,commons.wikimedia.org,At the Victoria and Albert Museum 2025 044.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/At_the_Victoria_and_Albert_Museum_2025_044.jpg/1280px-At_the_Victoria_and_Albert_Museum_2025_044.jpg
commons_turner_39f6d0bea786.jpg,turner,commons.wikimedia.org,Horror und Delight-Turner-A River Seen from a Hill DSC2167.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Horror_und_Delight-Turner-A_River_Seen_from_a_Hill_DSC2167.jpg/1280px-Horror_und_Delight-Turner-A_River_Seen_from_a_Hill_DSC2167.jpg
commons_turner_e979fe297846.jpg,turner,commons.wikimedia.org,Horror und Delight-Turner-The Mewstone DSC2205.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Horror_und_Delight-Turner-The_Mewstone_DSC2205.jpg/1280px-Horror_und_Delight-Turner-The_Mewstone_DSC2205.jpg
commons_turner_8cc9b72e45f6.jpg,turner,commons.wikimedia.org,IvyBridge.jpg,https://upload.wikimedia.org/wikipedia/commons/8/8e/IvyBridge.jpg
commons_turner_0725e95e1f88.jpg,turner,commons.wikimedia.org,"J M W Turner - Lake of Thun, Switzerland - B1977.14.8116 - Yale Center for British Art.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/J_M_W_Turner_-_Lake_of_Thun%2C_Switzerland_-_B1977.14.8116_-_Yale_Center_for_British_Art.jpg/1280px-J_M_W_Turner_-_Lake_of_Thun%2C_Switzerland_-_B1977.14.8116_-_Yale_Center_for_British_Art.jpg
commons_turner_a00d5eb4b9d2.jpg,turner,commons.wikimedia.org,"J M W Turner - Morpeth, Northumberland - B1977.14.14017 - Yale Center for British Art.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/J_M_W_Turner_-_Morpeth%2C_Northumberland_-_B1977.14.14017_-_Yale_Center_for_British_Art.jpg/1280px-J_M_W_Turner_-_Morpeth%2C_Northumberland_-_B1977.14.14017_-_Yale_Center_for_British_Art.jpg
commons_turner_2573a62dfca0.jpg,turner,commons.wikimedia.org,"J M W Turner - Near Blair Athol, Scotland - B1977.14.8141 - Yale Center for British Art.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/J_M_W_Turner_-_Near_Blair_Athol%2C_Scotland_-_B1977.14.8141_-_Yale_Center_for_British_Art.jpg/1280px-J_M_W_Turner_-_Near_Blair_Athol%2C_Scotland_-_B1977.14.8141_-_Yale_Center_for_British_Art.jpg
commons_turner_37e1d3643aae.jpg,turner,commons.wikimedia.org,J M W Turner - The Stork and Aqueduct - B1977.14.8208 - Yale Center for British Art.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/J_M_W_Turner_-_The_Stork_and_Aqueduct_-_B1977.14.8208_-_Yale_Center_for_British_Art.jpg/1280px-J_M_W_Turner_-_The_Stork_and_Aqueduct_-_B1977.14.8208_-_Yale_Center_for_British_Art.jpg
